"Name","Radio ID","Call Type","Call Alert","No."
"Audio Test 2","9999.0","Group Call","None","1"
"Bridge 2 (bm)","3100.0","Group Call","None","2"
"British Columbia 1","3027.0","Group Call","None","3"
"California 1","3106.0","Group Call","None","4"
"Canada 2","302.0","Group Call","None","5"
"Cascades East 1","3191.0","Group Call","None","6"
"Comm 1","3777215.0","Group Call","None","7"
"Comm 2","3777216.0","Group Call","None","8"
"DCI 1","3160.0","Group Call","None","9"
"DCI 2","3162.0","Group Call","None","10"
"Fusion 2","3182.0","Group Call","None","11"
"Hawaii 1 (TS2)","3115.0","Group Call","None","12"
"I-5","3168.0","Group Call","None","13"
"Local 1","3181.0","Group Call","None","14"
"Local 2","3166.0","Group Call","None","15"
"Mountain 2 (bm)","3177.0","Group Call","None","16"
"Net 2 (bm)","31002.0","Group Call","None","17"
"North America 2","3163.0","Group Call","None","18"
"Oregon 1 (bm)","3141.0","Group Call","None","19"
"PNW 1 (Calling Only)","3187.0","Group Call","None","20"
"PNW 2 (Calling Only)","103187.0","Group Call","None","21"
"PNW Reg 2 (bm)","31771.0","Group Call","None","22"
"PS 1","3190.0","Group Call","None","23"
"PS 2","103190.0","Group Call","None","24"
"Parrot 1","9998.0","Group Call","None","25"
"SNARS 2","31328.0","Group Call","None","26"
"TAC 1","8951.0","Group Call","None","27"
"TAC 2","8952.0","Group Call","None","28"
"TAC 310 (bm)","310.0","Group Call","None","29"
"TAC 311 (bm)","311.0","Group Call","None","30"
"TAC 312 (bm)","312.0","Group Call","None","31"
"TAC 313","313.0","Group Call","None","32"
"TAC 314","314.0","Group Call","None","33"
"TAC 319","319.0","Group Call","None","34"
"TAC English 2","123.0","Group Call","None","35"
"USA 2","1776.0","Group Call","None","36"
"Washington 1 (bm ptt)","3153.0","Group Call","None","37"
"Washington 2","103153.0","Group Call","None","38"
"Worldwide 2 ","3161.0","Group Call","None","39"
"Worldwide Eng 2 ","13.0","Group Call","None","40"
